,Address,Price,City,Bedrooms,Living-Area,Total-Bathrooms,Home-Type,Distance,Duration
124,"1000 Chauncy Ct, Vacaville, CA 95688",499000,Vacaville,3,1408.0,3, Single Family,67.2,1 hour 5 mins
125,"100 American Way, Vacaville, CA 95687",385000,Vacaville,3,1734.0,3, Single Family,66.5,1 hour 7 mins
126,"325 Gabiano Ct, Vacaville, CA 95687",410000,Vacaville,3,1229.0,3, Single Family,64.0,1 hour 2 mins
127,"113 Currant Ln, Vacaville, CA 95687",499999,Vacaville,2,1597.0,2, Single Family,67.1,1 hour 7 mins
128,"104 Glacier Cir, Vacaville, CA 95687",399000,Vacaville,3,1440.0,2, Single Family,67.5,1 hour 6 mins
129,"490 Edgewood Dr APT 25, Vacaville, CA 95688",275000,Vacaville,2,1224.0,2, Condo,63.9,1 hour 1 min
130,"2006 Pinecrest Ct, Vacaville, CA 95688",1199999,Vacaville,4,3850.0,4, Single Family,66.5,1 hour 6 mins
131,"130 Arcadia Dr, Vacaville, CA 95687",340000,Vacaville,3,1379.0,3, Condo,66.7,1 hour 5 mins
132,"433 Harlan St APT 107, San Leandro, CA 94577",385000,San Leandro,2,803.0,2, Condo,27.1,29 mins
133,"251 Castro St, San Leandro, CA 94577",349888,San Leandro,1,860.0,1, Condo,26.3,29 mins
134,"700 Fargo Ave APT 1, San Leandro, CA 94579",489000,San Leandro,3,1100.0,3, Townhouse,24.3,24 mins
135,"15065 Hesperian Blvd APT 26, San Leandro, CA 94578",399000,San Leandro,2,822.0,2, Single Family,24.6,27 mins
136,"1450 Thrush Ave APT 16, San Leandro, CA 94578",385000,San Leandro,2,820.0,2, Condo,27.9,29 mins
137,"2505 Miramar Ave APT 115, Castro Valley, CA 94546",519000,Castro Valley,2,1063.0,2, Condo,26.9,28 mins
138,"1570 165th Ave APT 203, San Leandro, CA 94578",425000,San Leandro,2,928.0,2, Condo,25.8,27 mins
139,"14057 Doolittle Dr, San Leandro, CA 94577",448888,San Leandro,2,1250.0,2, Condo,26.4,30 mins
140,"740 Fargo Ave APT 8, San Leandro, CA 94579",438000,San Leandro,2,840.0,2, Condo,24.3,24 mins
141,"871 Old Oak Rd, Livermore, CA 94550",1479950,Livermore,4,2532.0,3, Single Family,46.4,48 mins
142,"2784 Kellogg Loop, Livermore, CA 94550",1350000,Livermore,4,3287.0,4, Single Family,50.0,51 mins
143,"2250 Rapallo Cmn, Livermore, CA 94551",849950,Livermore,4,2061.0,3, Single Family,44.6,45 mins
144,"2982 Sage Cmn, Livermore, CA 94551",819950,Livermore,3,1786.0,3, Single Family,43.0,42 mins
145,"3027 Rivers Bend Cir, Livermore, CA 94550",1289950,Livermore,5,3020.0,3, Single Family,46.3,49 mins
146,"1337 Spring Valley Cmn, Livermore, CA 94551",574900,Livermore,3,1274.0,3, Townhouse,46.2,45 mins
147,"681 Selby Ln UNIT 4, Livermore, CA 94551",738888,Livermore,3,1806.0,2, Condo,43.0,42 mins
148,"3941 Portola Cmn UNIT 4, Livermore, CA 94551",675000,Livermore,2,1580.0,3, Condo,45.7,46 mins
149,"1817 Monterey Dr, Livermore, CA 94551",530000,Livermore,3,1274.0,3, Townhouse,46.5,45 mins
150,"2784 Patcham Cmn, Livermore, CA 94550",809900,Livermore,4,1927.0,4, Single Family,45.2,46 mins
151,"5432 Theresa Way, Livermore, CA 94550",800000,Livermore,3,1583.0,2, Single Family,47.9,49 mins
152,"1087 Murrieta Blvd APT 240, Livermore, CA 94550",398000,Livermore,1,758.0,1, Condo,45.5,48 mins
153,"3552 Shelter Creek Dr, Napa, CA 94558",420000,Napa,3,1350.0,2, Condo,61.6,1 hour 10 mins
154,"3191 Tiffanie Ln, Napa, CA 94558",1295000,Napa,5,3360.0,3, Single Family,59.5,1 hour 4 mins
155,"158 Luke Dr, Napa, CA 94558",1465000,Napa,4,2998.0,4, Single Family,62.5,1 hour 10 mins
156,"21 Lighthouse Ct, Napa, CA 94559",1395000,Napa,4,2190.0,3, Single Family,57.8,1 hour 5 mins
157,"242 Buttercup Ct, Napa, CA 94559",1190000,Napa,4,2730.0,4, Single Family,57.6,1 hour 6 mins
158,"407 Bear Creek Cir, Napa, CA 94558",2099000,Napa,4,3281.0,5, Single Family,62.1,1 hour 15 mins
159,"77 Village Pkwy, Napa, CA 94558",420000,Napa,2,1376.0,3, Condo,57.7,1 hour 2 mins
160,"33 Woodhill Dr, Redwood City, CA 94061",3495000,Redwood City,3,2870.0,3, Single Family,19.9,19 mins
161,"1318 Woodside Rd, Redwood City, CA 94061",899000,Redwood City,2,1360.0,2, Condo,15.9,20 mins
162,"1233 Sanchez Way, Redwood City, CA 94061",1450000,Redwood City,3,1490.0,3, Single Family,15.7,20 mins
163,"742 Newport Cir, Redwood City, CA 94065",2399932,Redwood City,4,1790.0,3, Single Family,10.6,14 mins
164,"812 Palm Ave, Redwood City, CA 94061",1378000,Redwood City,3,1760.0,3, Single Family,15.2,19 mins
165,"216 Alden St, Redwood City, CA 94063",849900,Redwood City,2,1026.0,2, Townhouse,12.9,15 mins
166,"548 Shorebird Cir UNIT 3203, Redwood City, CA 94065",1298000,Redwood City,2,1667.0,2, Condo,10.4,13 mins
167,"217 Bradbury Ln, Redwood City, CA 94061",1799000,Redwood City,4,2150.0,3, Single Family,15.6,20 mins
168,"137 Laurel Way, Mountain View, CA 94040",1599000,Mountain View,3,1339.0,3, Single Family,23.1,26 mins
169,"452 Mountain Laurel Ct, Mountain View, CA 94043",1380000,Mountain View,3,1417.0,3, Townhouse,23.9,26 mins
170,"150 Pacchetti Way, Mountain View, CA 94040",1495000,Mountain View,3,1421.0,3, Townhouse,23.0,25 mins
171,"400 Ortega Ave APT 118, Mountain View, CA 94040",949800,Mountain View,2,1013.0,2, Condo,23.4,27 mins
172,"305 Woodland Park Ln, Mountain View, CA 94043",2250000,Mountain View,4,2264.0,3, Single Family,23.8,25 mins
173,"1108 Carlos Privada, Mountain View, CA 94040",2295000,Mountain View,4,2493.0,3, Single Family,26.0,27 mins
174,"2025 California St APT 36, Mountain View, CA 94040",798000,Mountain View,2,895.0,1, Condo,23.5,26 mins
