,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Garage-Spaces,Home-Type,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
304,"470 N Winchester Blvd APT 404, Santa Clara, CA 95050",Santa Clara,95050,CA,3,699888,SERENO GROUP,53.0,717034,https://www.zillow.com/homedetails/470-N-Winchester-Blvd-APT-404-Santa-Clara-CA-95050/19581408_zpid/,1284.0,2, 1, Townhouse,1979, Public Utilities,86.86,7764.0,634644.0
307,"980 Kiely Blvd UNIT 324, Santa Clara, CA 95051",Santa Clara,95051,CA,1,389888,COMPASS,495.0,395255,https://www.zillow.com/homedetails/980-Kiely-Blvd-UNIT-324-Santa-Clara-CA-95051/19597181_zpid/,622.0,1, 1, Condo,1971," Public Utilities, Natural Gas, Other",87.41,3886.0,320272.0
309,"801 Woodhams Oaks Pl, Santa Clara, CA 95051",Santa Clara,95051,CA,2,874999,EXCEL REALTY,262.0,889033,https://www.zillow.com/homedetails/801-Woodhams-Oaks-Pl-Santa-Clara-CA-95051/19596814_zpid/,893.0,3, 1, Townhouse,1996,Unknown,91.66,7719.0,630904.0
311,"5080 Plaza Corona, Santa Clara, CA 95054",Santa Clara,95054,CA,3,799900,COMPASS,377.0,814385,https://www.zillow.com/homedetails/5080-Plaza-Corona-Santa-Clara-CA-95054/19488525_zpid/,1240.0,2,0, Townhouse,1972," Individual Electric Meters, Public Utilities, Individual Gas Meters",89.96,3782.0,304009.0
313,"1555 Farmer Pl, Santa Clara, CA 95051",Santa Clara,95051,CA,4,1499000,COMPASS,106.0,1528233,https://www.zillow.com/homedetails/1555-Farmer-Pl-Santa-Clara-CA-95051/112093414_zpid/,1993.0,4, 2, Single Family,2009, Public Utilities,86.86,10374.0,854679.0
315,"173 Saratoga Ave, Santa Clara, CA 95050",Santa Clara,95050,CA,3,1199000,REDFIN,350.0,1222802,https://www.zillow.com/homedetails/173-Saratoga-Ave-Santa-Clara-CA-95050/19608428_zpid/,1855.0,3, 2, Townhouse,1981," Individual Electric Meters, Public Utilities, Individual Gas Meters",91.66,8239.0,673589.0
318,"934 Kiely Blvd UNIT F, Santa Clara, CA 95051",Santa Clara,95051,CA,1,399000,COLDWELL BANKER,495.0,405931,https://www.zillow.com/homedetails/934-Kiely-Blvd-UNIT-F-Santa-Clara-CA-95051/19596850_zpid/,440.0,1, 1, Condo,1971, Public Utilities,89.26,3192.0,255837.0
319,"4519 Laird Cir, Santa Clara, CA 95054",Santa Clara,95054,CA,3,1299800,8 BLOCKS REAL ESTATE,383.0,1325265,https://www.zillow.com/homedetails/4519-Laird-Cir-Santa-Clara-CA-95054/69299543_zpid/,1700.0,3, 2, Townhouse,2005, Public Utilities,83.56,10841.0,888880.0
320,"2110 Rancho Mccormick Blvd, Santa Clara, CA 95050",Santa Clara,95050,CA,3,1195000,MIDTOWN REALTY,436.0,1217528,https://www.zillow.com/homedetails/2110-Rancho-Mccormick-Blvd-Santa-Clara-CA-95050/19557772_zpid/,1636.0,3, 2, Townhouse,1981, Public Utilities,86.86,8668.0,716462.0
322,"470 N Winchester Blvd APT 104, Santa Clara, CA 95050",Santa Clara,95050,CA,3,695000,KELLER WILLIAMS,641.0,704637,https://www.zillow.com/homedetails/470-N-Winchester-Blvd-APT-104-Santa-Clara-CA-95050/19581415_zpid/,1284.0,2, 1, Townhouse,1979," Individual Electric Meters, Public Utilities",93.26,8145.0,673200.0
323,"1883 Agnew Rd UNIT 436, Santa Clara, CA 95054",Santa Clara,95054,CA,3,899800,INTERO REAL ESTATE SERVICES,411.0,916711,https://www.zillow.com/homedetails/1883-Agnew-Rd-UNIT-436-Santa-Clara-CA-95054/79842178_zpid/,1361.0,2,0, Condo,2006," Individual Electric Meters, Individual Gas Meters, Other",94.86,8722.0,713351.0
324,"2815 Newhall St, Santa Clara, CA 95050",Santa Clara,95050,CA,2,850000,"MOVOTO, INC",493.0,862686,https://www.zillow.com/homedetails/2815-Newhall-St-Santa-Clara-CA-95050/243210841_zpid/,1267.0,2,0, Condo,2016, Public Utilities,87.41,7593.0,620482.0
325,"1120 Pomeroy Ave, Santa Clara, CA 95051",Santa Clara,95051,CA,2,819000,MONITOR REALTY ASSOCIATES,342.0,834421,https://www.zillow.com/homedetails/1120-Pomeroy-Ave-Santa-Clara-CA-95051/19596592_zpid/,947.0,1, 1, Condo,1963," Individual Electric Meters, Public Utilities, Individual Gas Meters",93.26,4979.0,403906.0
326,"831 Pomeroy Ave UNIT 3, Santa Clara, CA 95051",Santa Clara,95051,CA,2,679000,COMPASS,385.0,699892,https://www.zillow.com/homedetails/831-Pomeroy-Ave-UNIT-3-Santa-Clara-CA-95051/59683103_zpid/,954.0,2,0, Condo,1964, Public Utilities,90.86,4217.0,347726.0
330,"8368 Bennington Ct, Vallejo, CA 94591",Vallejo,94591,CA,4,540000,BETTER HOMES,89.0,548082,https://www.zillow.com/homedetails/8368-Bennington-Ct-Vallejo-CA-94591/69027317_zpid/,2026.0,3,0, Single Family,2005,Unknown,87.41,9801.0,523000.0
334,"493 Lighthouse Dr, Vallejo, CA 94590",Vallejo,94590,CA,3,325000,"THE SAYLES GROUP, INC",496.0,325001,https://www.zillow.com/homedetails/493-Lighthouse-Dr-Vallejo-CA-94590/15691016_zpid/,1058.0,2, 1, Condo,1988,Unknown,89.88,3783.0,260000.0
347,"37 Werden St, Vallejo, CA 94590",Vallejo,94590,CA,3,249000,THE HANLEY TEAM,287.0,230002,https://www.zillow.com/homedetails/37-Werden-St-Vallejo-CA-94590/15689853_zpid/,988.0,2,0, Condo,1977,Unknown,93.88,3252.0,214700.0
348,"108 Camino Del Sol, Vallejo, CA 94591",Vallejo,94591,CA,4,674000,CENTURY 21,315.0,679681,https://www.zillow.com/homedetails/108-Camino-Del-Sol-Vallejo-CA-94591/15675925_zpid/,2306.0,3,0, Single Family,1991,Unknown,87.41,7929.0,472530.0
350,"197 Lighthouse Dr, Vallejo, CA 94590",Vallejo,94590,CA,1,239900,RICHARD & ASSOCIATES REALTY,497.0,198755,https://www.zillow.com/homedetails/197-Lighthouse-Dr-Vallejo-CA-94590/15690955_zpid/,718.0,1,0, Condo,1988,Unknown,87.48,2903.0,185000.0
