,Address,City,ZipCode,State,Bedrooms,Price,Listing-Company,HOA,Zestimate,Link,Living-Area,Total-Bathrooms,Full-Bathrooms,Half-Bathrooms,Garage-Spaces,Stories,Fireplace,Lot-Size,Home-Type,New-Contruction,Year-Built,Utilities,Sunscore,Annual-Tax,Tax-Value
51,"213 Santa Cruz Dr, Fairfield, CA 94533",Fairfield,94533,CA,3,370000,Keller Williams Napa Valley,Not_Found,369154,https://www.zillow.com/homedetails/213-Santa-Cruz-Dr-Fairfield-CA-94533/15648842_zpid/,960,1, 1,Not_Found, 0, 1,Not_Found,"5,662", Single Family, No,1964,Not_Found,Not_Found," $3,664"," $325,000"
52,"3553 Tidewater Pl, Fairfield, CA 94533",Fairfield,94533,CA,4,525000,Coldwell Banker Realty, $39/mo,525003,https://www.zillow.com/homedetails/3553-Tidewater-Pl-Fairfield-CA-94533/59208252_zpid/,"2,012",3, 3,Not_Found, 0, 1, Yes,"2,827", Single Family, No,2002, Public Utilities,89.3," $5,449"," $431,766"
53,"1349 Kansas St, Fairfield, CA 94533",Fairfield,94533,CA,3,399000,Keller Williams Napa Valley,Not_Found,399002,https://www.zillow.com/homedetails/1349-Kansas-St-Fairfield-CA-94533/15644729_zpid/,"1,264",2, 2,Not_Found, 0, 1,Not_Found,"6,534", Single Family, No,1954,Not_Found,Not_Found," $1,690"," $148,359"
54,"Buildable plan Residence 1, Ava at Villages, Fairfield, CA 94534",Fairfield,94534,CA,4,465990,D.R. Horton - Bay Area,Not_Found,Not_Found,https://www.zillow.com/community/ava-at-villages/2077757840_zpid/,"1,769",3, 2, 1, 2, 2,Not_Found,Not_Found, Single Family, Yes,Not_Found,Not_Found,Not_Found,Not_Found,Not_Found
55,"1328 Simms Ct, Fairfield, CA 94533",Fairfield,94533,CA,3,410000,"David McCall, Broker",Not_Found,410032,https://www.zillow.com/homedetails/1328-Simms-Ct-Fairfield-CA-94533/15733760_zpid/,"1,128",2, 2,Not_Found, 2, 1, Yes,"7,840", Single Family, No,1973,Not_Found,77.3," $3,042"," $269,344"
56,"5258 Gillick Ln, Fairfield, CA 94533",Fairfield,94533,CA,4,689999,KW Vaca Valley,Not_Found,690002,https://www.zillow.com/homedetails/5258-Gillick-Ln-Fairfield-CA-94533/122247286_zpid/,"2,865",3, 3,Not_Found, 0, 2,Not_Found,"6,098", Single Family, No,2016,Not_Found,Not_Found," $7,678"," $522,617"
57,"1479 Astoria Dr, Fairfield, CA 94534",Fairfield,94534,CA,4,535000,Summit Properties,Not_Found,535808,https://www.zillow.com/homedetails/1479-Astoria-Dr-Fairfield-CA-94534/15723587_zpid/,"1,926",3, 2, 1, 2, 2, Yes,"8,276", Single Family, No,1977,Not_Found,Not_Found," $3,265"," $289,284"
58,"1993 Amelia Ln, Fairfield, CA 94534",Fairfield,94534,CA,3,576815,Discovery Realty Inc, $190/mo,Not_Found,https://www.zillow.com/homedetails/1993-Amelia-Ln-Fairfield-CA-94534/318582491_zpid/,"2,152",3, 2, 1, 0, 2, Yes,"3,049", Single Family, No,2020,Not_Found,Not_Found, $285," $24,480"
59,"1001 Suffolk Way, Fairfield, CA 94533",Fairfield,94533,CA,5,562000,Coldwell Banker Kappel Gateway,Not_Found,562043,https://www.zillow.com/homedetails/1001-Suffolk-Way-Fairfield-CA-94533/15729192_zpid/,"2,603",3, 3,Not_Found, 0, 2, Yes,"8,276", Single Family, No,1989,Not_Found,Not_Found," $5,038"," $447,927"
60,"4728 Branding Iron Dr, Fairfield, CA 94534",Fairfield,94534,CA,5,669999,RE/MAX Gold,Not_Found,656568,https://www.zillow.com/homedetails/4728-Branding-Iron-Dr-Fairfield-CA-94534/178386087_zpid/,"2,944",3, 3,Not_Found, 0, 2, Yes,"3,920", Single Family, No,2017,Not_Found,Not_Found," $6,898"," $593,028"
61,"2430 Bay Hill Dr, Fairfield, CA 94534",Fairfield,94534,CA,3,599000,Messina Realty Inc, $64/mo,599002,https://www.zillow.com/homedetails/2430-Bay-Hill-Dr-Fairfield-CA-94534/15723979_zpid/,"1,635",2, 2,Not_Found, 0, 1, Yes,"7,405", Single Family, No,1988,Not_Found,Not_Found," $5,033"," $380,845"
62,"1248 Illinois St, Fairfield, CA 94533",Fairfield,94533,CA,3,360000,Coldwell Banker Kappel Gateway,Not_Found,393680,https://www.zillow.com/homedetails/1248-Illinois-St-Fairfield-CA-94533/82968049_zpid/,"1,140",2, 2,Not_Found, 0, 1, Yes,"2,613", Single Family, No,1953,Not_Found,Not_Found," $3,609"," $320,000"
63,"1331 Taft St, Fairfield, CA 94533",Fairfield,94533,CA,3,429000,RE/MAX Gold of Fairfield,Not_Found,429003,https://www.zillow.com/homedetails/1331-Taft-St-Fairfield-CA-94533/15643686_zpid/,"1,466",2, 2,Not_Found, 0, 1, Yes,"6,098", Single Family, No,1958,Not_Found,Not_Found," $2,918"," $258,238"
64,"1049 2nd St, Fairfield, CA 94533",Fairfield,94533,CA,3,230000,Keller Williams Realty,Not_Found,399130,https://www.zillow.com/homedetails/1049-2nd-St-Fairfield-CA-94533/15645065_zpid/,"1,749",2, 2,Not_Found, 1, 2,Not_Found,"5,227", Single Family, No,1952, All Public,Not_Found," $1,465"," $128,196"
65,"3349 Pebble Beach Ct, Fairfield, CA 94534",Fairfield,94534,CA,5,1149000,"Dumas Real Estate, Inc", $64/mo,1146081,https://www.zillow.com/homedetails/3349-Pebble-Beach-Ct-Fairfield-CA-94534/54659903_zpid/,"4,523",5, 4, 1, 0, 2, Yes,"9,583", Single Family, No,2003,Not_Found,89.38," $11,885"," $934,000"
66,"4217 Duke Ct, Fairfield, CA 94534",Fairfield,94534,CA,4,615000,Luxe Realty Group, $94/mo,615005,https://www.zillow.com/homedetails/4217-Duke-Ct-Fairfield-CA-94534/178387574_zpid/,"2,380",3, 3,Not_Found, 0, 2,Not_Found,"3,049", Single Family, No,2016,Not_Found,90.97," $8,664"," $586,500"
67,"4256 Farleigh Ct, Fairfield, CA 94534",Fairfield,94534,CA,3,579000,McGuire Capital Group Realty, $95/mo,560110,https://www.zillow.com/homedetails/4256-Farleigh-Ct-Fairfield-CA-94534/241384724_zpid/,"2,364",3, 3,Not_Found, 4, 2,Not_Found,"3,049", Single Family, No,2016,Not_Found,90.97," $8,006"," $519,991"
68,"822 Bridle Ridge Dr, Fairfield, CA 94534",Fairfield,94534,CA,4,918000,Country Estates Inc, $157/mo,917136,https://www.zillow.com/homedetails/822-Bridle-Ridge-Dr-Fairfield-CA-94534/69026461_zpid/,"3,499",3, 3,Not_Found, 0, 2, Yes,0.65, Single Family, No,2005,Not_Found,Not_Found," $8,655"," $631,801"
69,"1335 Quail Dr, Fairfield, CA 94533",Fairfield,94533,CA,3,425000,Melgar Real Estate Services,Not_Found,408745,https://www.zillow.com/homedetails/1335-Quail-Dr-Fairfield-CA-94533/15733769_zpid/,"2,092",2, 2,Not_Found, 0, 2, Yes,"6,098", Single Family, No,1973,Not_Found,86.1," $4,193"," $372,300"
70,"55 Villa Cir, Fairfield, CA 94533",Fairfield,94533,CA,2,175000,Professional Realty Associates, $355/mo,185001,https://www.zillow.com/homedetails/55-Villa-Cir-Fairfield-CA-94533/15687545_zpid/,968,2, 1, 1, 0, 1,Not_Found,"1,742", Condo, No,1971,Not_Found,94.9, $795," $68,288"
71,"1888 Leaning Oak Dr, Fairfield, CA 94534",Fairfield,94534,CA,3,469900,MRL Group Inc.,Not_Found,520215,https://www.zillow.com/homedetails/1888-Leaning-Oak-Dr-Fairfield-CA-94534/63157796_zpid/,"1,719",3, 2, 1, 0, 2, Yes,"3,049", Single Family, No,2005,Not_Found,Not_Found," $6,167"," $503,000"
72,"4406 Green Valley Rd, Fairfield, CA 94534",Fairfield,94534,CA,3,779500,Country Estates Inc,Not_Found,779502,https://www.zillow.com/homedetails/4406-Green-Valley-Rd-Fairfield-CA-94534/15726259_zpid/,"1,248",3, 3,Not_Found, 0, 1, Yes,0.45, Single Family, No,1960,Not_Found,Not_Found," $4,472"," $362,435"
73,"182 Palm Beach Ct, Fairfield, CA 94533",Fairfield,94533,CA,2,199000,Greater Solano Real Estate Svc,Not_Found,199000,https://www.zillow.com/homedetails/182-Palm-Beach-Ct-Fairfield-CA-94533/2113916317_zpid/,"1,440",2, 2,Not_Found, 0, 1,Not_Found,Not_Found, Mobile / Manufactured, No,1976,Not_Found,Not_Found,Not_Found,Not_Found
74,"870 Emerald Hills Cir, Fairfield, CA 94533",Fairfield,94533,CA,3,570000,Coldwell Banker Kappel Gateway, $39/mo,570002,https://www.zillow.com/homedetails/870-Emerald-Hills-Cir-Fairfield-CA-94533/15729388_zpid/,"1,958",2, 2,Not_Found, 0, 1, Yes,"8,276", Single Family, No,2002,Not_Found,Not_Found," $5,867"," $476,880"
